class,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,0.04375000000000001,0.05043885999752758,0.06640326449252652,0.08642532608711523,0.10833827639334394,0.13159052321944592,0.15602057901240715,0.1812115360745644,0.20625,0.22981968601132488,0.2505111765551175,0.2671965020006175,0.2793357171364224,0.2871177201417743,0.2913736189333886,0.2932537362525747
0,0.18750000000000003,0.5049608722615881,0.27501171422255005,0.5379386927895203,0.6086931772819119,0.28848577178267765,0.21873031394441406,0.17826154621990742,0.31868871959954903,0.6261847815162442,0.5703415112366674,0.2335475862777436,0.5567417407833284,0.6906624608963895,0.4397995763554428,0.2623809641585982
0,0.9375,1.7180993476250288,1.2771883269469628,0.43513864728094453,0.4165175668465214,0.3388307905757082,0.4530623548424002,0.49715724545045603,0.573503487347723,0.22257217893914324,0.37309376609517714,0.4134725713092286,0.6348823643071633,0.3209734050284692,0.1801402837679405,0.11798512274250349
0,0.36875,0.39334688577596827,0.3001329163036432,0.07738934502601705,0.26925789556666185,0.3611465596731784,0.49011085158161033,0.7018620396391199,0.6541036328442152,0.24438221668920526,0.3185094034712045,0.7049144579906681,0.7682672456085919,0.627468317003487,0.48248792276432834,0.3181523325629376
0,1.05625,1.635743303470465,1.2055988831794024,0.5122604722251074,0.44810967491963205,0.42293384807994655,0.3559305813890696,0.39501649144809997,0.4490006263915452,0.13976338746730613,0.41770355004524445,0.45401608214653144,0.6424276957319179,0.26318095992021634,0.26141394069218293,0.2369722776845711
0,1.275,1.6249799556034568,1.0060016294873968,0.3670741345421324,0.2522793432729539,0.20422747540245992,0.5714179091123962,0.6098027896339325,0.5514894604613945,0.34146600556488665,0.4559717852936354,0.5987701405865932,0.830255311911804,0.474985971919459,0.37387434470748954,0.08883710906903061
0,0.125,0.1221615160841406,0.11392034000440937,0.10109957737570023,0.0850907922868566,0.06796409209479023,0.0527981446807563,0.04390266546733668,0.04419417382415922,0.05072964731908448,0.05836809222726081,0.06410864115217703,0.06692015442297652,0.06698760907665734,0.06530832918778179,0.06334921337924163
0,0.25,0.24199346514407408,0.21946764621027173,0.18679378771682476,0.15088834764831843,0.12031326271600123,0.1019556909077107,0.09447683700077365,0.08838834764831845,0.07513687158367316,0.05161589076487733,0.020873522970298,0.025888347648318447,0.0627437689319108,0.09532727405628781,0.11727342329177304
0,0.05,0.08592302038409244,0.14165015006992562,0.18905703623054115,0.2222824706969228,0.24178659013478887,0.25243986881167074,0.2614133908315811,0.2741464024932664,0.29048242677993197,0.30473332701641903,0.30933988973327264,0.29863732723969993,0.2712261876564311,0.23164508849750792,0.1925281876140009
0,0.03125,0.048868437314382555,0.07995886775420778,0.11096403775759114,0.13815241483199067,0.15963715396767172,0.17464380117104988,0.18389812936536573,0.19008632907181935,0.19770448233840293,0.2114795558167907,0.23362700028685707,0.2623061861186075,0.2927300196539103,0.31933723499073013,0.3373785903724383
0,0.2375,0.23130719477088235,0.21317013905629256,0.18437534294031954,0.1469463651840256,0.10348330386981712,0.057031562383389744,0.013059298056718762,0.03644344934278313,0.07547871856653286,0.10844391896645036,0.1341286640404834,0.15248119805144167,0.164298326889052,0.17097751064402705,0.17411748741882593
0,0.04999999999999999,0.09881613322844815,0.16783288112993233,0.22185117655932363,0.2519848997173821,0.25533128496231006,0.2339754936309317,0.19581057356088907,0.15737097890017715,0.1458269053360046,0.17487324280419334,0.2244783793612497,0.27403897590383175,0.31409485501390466,0.34178859159271757,0.35748422959277215
0,0.11875000000000002,0.2319116035330708,0.3760882533829455,0.44530399862535036,0.4012188461426009,0.25445897228608216,0.19059834008136387,0.4034955028075483,0.6181183644739897,0.7314691576763426,0.7182048269993749,0.5930141403355482,0.4012188461426009,0.24725105414415086,0.30414712706253233,0.4376983944991654
