class,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63
1,38.734375,33.94587876361768,21.59819972374672,6.882693374164556,5.668704572433359,10.577134530861299,8.870502929142555,4.666124017047282,6.63132582786655,9.252297399248908,8.381762468730892,5.085792125707282,2.2005234503410094,2.190820211925868,2.170793452681477,1.665491081194736,1.19678160206952,0.8729704062700302,2.096537485877007,2.8300578548054616,1.7351188082213296,1.5404360388079388,5.108433867170393,7.538656412088487,7.512637161122249,5.215854753621873,2.547093900847145,2.2921874197275485,2.0537723302391195,1.1727658008955755,3.1106855428420355,4.415790901005946,3.723162429516405,2.1660232840024793,3.0197087411302292,3.7149037543279992,2.1758598716796507,1.1113941806366177,4.390523639535194,6.022736595549598,5.602920853309024,4.932116968710547,6.2774928644501236,8.240810883632244,9.599183631674343,10.358990734641319,10.11137341705218,8.029311669231056,4.131161228253251,1.0940595530013126,3.8208098964058648,4.3138257011544425,2.5375400455455375,2.66079441928132,4.796589785741295,4.9952324453695045,3.0658802211273573,2.034102572658547,4.062671512318586,5.157242737579356,5.253673793721449,5.3208517763435985,5.0439586147832856,3.612227469787364
1,20.390625,19.775601780723356,17.995157524843478,15.235597089126601,11.783710738287002,7.997899645051647,4.297475539398728,1.538137327526687,2.6187217549294477,4.40426929753468,5.401199553792872,5.5420903172932,4.948953832092283,3.852712654714986,2.5921865080722397,1.7293100513547148,1.8645819649493298,2.410568038240749,2.703779362914619,2.5812475826362413,2.1282605504822576,1.7004807280615453,1.915845915472728,2.735472456243071,3.6358150341971194,4.313864269894672,4.625308728286243,4.520131709323765,4.023846219307259,3.229418019939411,2.3045491371020908,1.5683628206686908,1.54244947749513,2.108692236092048,2.714218511569531,3.1288706501649934,3.2855151477298765,3.1772145691890636,2.825779705081302,2.271334840539135,1.5841118104310175,0.9760233545288529,1.1168778128543575,1.9454844781723912,2.896024630904717,3.770648120622134,4.462762725475737,4.896112589158471,5.023518332775914,4.832761261713389,4.350723816331242,3.644362559070389,2.8214445298722324,2.041734665151048,1.546754644100392,1.5415086147834753,1.846836617548612,2.180620760437551,2.442076096616582,2.640374990497303,2.8178778079276463,3.000923138162918,3.17791235793833,3.310156520209596
1,52.546875,43.33662178782947,21.458363580369223,1.7627590644093167,10.874209135757152,8.442363330961811,1.6459646683293891,6.048984669554236,5.208956624394165,2.989364682671872,4.462872030383594,2.9925137495984857,2.0951102817174037,3.0068205749074024,0.6465936308808357,3.4879030917020364,4.3683432166100795,1.0223160510117018,4.338029697394708,6.273360693575402,3.2443019788772527,3.634580193977804,6.959754560108864,5.190893064605801,2.663513155166655,6.616451750273746,6.881340201775323,3.9400362007080845,5.954756613266601,9.416219950637371,11.4597371425339,13.083826435690707,13.82139225219596,13.294967011950169,11.703523596385534,8.245377593860239,3.3439958500580516,4.383829755402417,6.665450358858346,5.482353097988353,3.0525187238473777,2.997931742378639,3.2894488048028885,3.2821161616526866,3.0637618468911954,2.2663172195099794,2.7335712411210555,2.9704387350455397,1.253257241659391,1.870468519973907,3.2893543582339433,2.130257712461119,0.7102281246233187,2.8459670679790023,2.543142485637415,0.3761376078350251,2.4747767319488623,3.2042013716832014,1.9022934543334875,0.5304494822904356,1.4359354223609713,1.3849678325610222,1.136365249071159,0.8429553753213197
1,69.09375,44.99135875233662,2.74162257603157,17.03920500825453,4.103154755331505,9.749732842923338,3.453333239572913,5.445730369320298,1.6093238830742798,10.718184189619862,7.451229008356793,3.867509052031477,5.334382526380731,3.750275778114075,7.065193711769375,3.046215538388713,7.488564025549152,5.2612956294917685,0.9154067830404361,5.494446771900018,7.161927493723256,2.795624398168337,3.2417783867630052,2.79796231496573,1.6820608263364718,1.2416656100032915,5.836404410570266,6.683828920872314,3.7804306993879417,4.258176604889193,3.1955896888836186,3.909043557399949,3.5883281110863456,3.0601747856784396,3.019866158227719,1.5755936405692257,3.7632420172391097,7.54741232870322,6.493659338664456,1.7234401670172437,3.0319550538169433,3.893919612752195,0.769519940329743,4.326125410502648,2.8044625979438877,3.743895026401056,7.825834607116869,8.140175394295309,4.522164668427728,4.077671846466459,4.77229507199243,1.5786726869191325,4.338476731266022,0.4972601540086876,7.169490525302884,7.416340449714374,3.261145025908062,0.18846821525913163,3.541968685888258,2.0833145395199466,4.778473756232607,6.163633056042987,5.278049121254724,22.35663934828509
1,39.203125,33.86803459818526,20.656921489028104,7.7879720690886485,9.15804237201799,10.518959434659584,5.6294855128643375,1.6358693420412758,6.295207822407371,6.297413710564662,3.61448885455921,4.620250536643841,6.150835691478046,4.9743005256445585,2.91069706549946,2.6774608554448283,2.244561509260356,2.6708863643126763,4.723722196086863,5.193151476575752,3.737461615079351,3.7806233309747976,5.654417101807689,5.872654481771991,4.27855343425,2.895023597407142,2.64915489732449,2.4541859090240328,3.74487378083426,5.273075702387919,5.0847759681655385,3.414919454425535,3.0091413460695065,4.1531618095613565,4.676293826273344,5.13074872078245,5.625689239646386,5.036247069783912,3.5086137111655917,2.767277302938958,2.156781497742592,1.4442508498492728,5.092258137571253,8.250204349544301,8.403098338072702,5.06185728875326,1.3203849905777283,5.089242892413943,6.49316274100279,4.61820543953112,1.3249749330779228,1.8270005639376623,2.050460678455373,1.0697463088372814,2.5102274466817907,2.95334213284312,1.7823559437479917,2.9621856752626554,4.6437666342277035,4.174844821222171,3.3376272774841715,5.39264893919521,6.531116652909939,4.495515110834473
1,36.8046875,32.754852029226186,22.225670995674825,9.522780750839322,4.232074876801916,8.375106654491073,7.711831801303677,4.237489690126839,5.293990771378965,7.519321700995674,6.314996172657437,2.130117096884946,2.7167524805868193,5.691094158192736,5.448644525037403,2.455156745515543,1.747959284296366,4.468045721338283,4.763893975761163,2.8659519282441814,1.798635343848171,3.5014227871383428,3.9017291089045405,3.068198512040434,3.562996117132307,5.315603343978741,6.274007182583887,6.097456489078193,5.28074020685219,4.09192400210167,2.721788489861401,3.0846057811801146,5.013829750752537,6.046728126484353,5.359694446458274,3.661550399752513,3.11757560577657,3.652680086042962,3.0426768387248253,1.3287900854634855,2.0241090127412296,3.147235446845816,2.3323567032854045,0.49018186085497467,3.541421326900801,5.590487616971656,5.348023974494382,2.8094459960885185,0.8783055089230829,3.823021273484173,4.652280355182533,2.97051481973339,0.3798225588531981,3.658175822784068,5.393774701280831,4.906122510647662,2.7967115805029246,1.4910953817190011,2.594219149436696,2.7203014149022584,1.9553509650795449,2.182814916129995,3.0244846396808795,3.216734338513225
1,39.1875,33.86871366640022,20.718928626738684,8.024841808594294,9.283260444399518,10.502236354465719,5.500076657182891,1.7914890998080242,6.621373047543972,6.798353776066929,4.328805530179713,4.892678675618151,6.176828978679662,5.0706274316796875,3.484180139640767,3.532084679227813,2.9122524321365018,2.422602520567242,4.115004849101855,4.62965991817755,3.5630602301373515,4.3455221508200434,6.347984419248716,6.5331709239552005,4.873335179978198,3.334764860033264,2.9607031904387293,2.8426263576950164,4.025168538882568,5.396505000424184,5.093808025569618,3.356220484694586,3.0140458948479867,4.194773720718012,4.621120751889889,4.9009485683054965,5.31093576689786,4.783063966324183,3.547109465371228,3.231269766201466,2.7600687634191976,1.646851470342576,4.865770570896076,8.052564127975538,8.31292935168978,5.190989066019279,2.1397203574235544,5.273337304506645,6.465785600200878,4.421534206205833,0.7766998874885099,2.0283685889962073,2.5336871334381876,1.8109765423870499,2.7357293101996047,3.0943495892717574,2.2374879226026563,3.461221340877674,4.992976122537372,4.3673853380857475,3.198210791308678,5.158282503570036,6.365404822528397,4.411890521187075
1,39.625,34.28818407817049,21.064009703620236,8.021497047778904,8.845965614711744,10.131097791962638,5.22136499503461,2.010787176655033,6.705648957505669,6.718823351486455,3.9627573840571797,4.551699701164291,5.986484976954878,4.881055588987194,3.1163052156368543,3.0987558280803107,2.558078097142752,2.475803329855713,4.358181814928864,4.818071232935055,3.4714959324528,3.9166239052738674,5.938527179158263,6.169365643517154,4.512041468147287,2.916636757312223,2.5295278762763984,2.549291616248184,4.089322617589332,5.6816638463600455,5.505749366540581,3.7523969759174736,2.90549385324595,3.770731756389065,4.2683281487536675,4.894484123275433,5.616067271832169,5.217818337249045,3.8747784942696373,3.1724559024453733,2.502112235656201,1.7711092424549841,5.197147762536225,8.341056920564071,8.512979130089189,5.232232963806401,1.7022365377440345,5.121629931202866,6.465479708047077,4.543448553283644,1.0687922432030468,1.7633984023655385,2.1375263253316716,1.4839134083368988,2.82547775551685,3.2711107501705965,2.204100565389869,3.0796722598323507,4.568857605277331,3.9299169630003252,2.9200563323680226,5.173101527207882,6.427194107804711,4.459719773269146
1,38.6953125,33.747282690570486,21.337230622376637,8.397703762911165,8.033404430150432,10.07280416217743,6.192215399712038,0.9530065215047638,5.8622668160200435,6.807358522550793,4.181773878839063,3.3202597919848205,5.411206803155543,5.345939292762335,3.6653505554967096,2.908265425276674,2.4144936083896686,1.4453029882604524,3.762726662638098,5.674873512412084,5.346435044706731,3.6790427573854623,3.910086786273533,5.037204792265581,4.7089883443411225,3.8483290055069097,4.101851000219284,4.247490688275725,3.7278694405847275,4.0813583030478044,4.772012649724355,4.108475185398874,2.7366173841133237,3.6064763787761316,5.135823925279339,5.679720725312427,5.748354126065226,5.474506229881058,3.980221057922082,1.1547692755720564,1.746711438099595,2.780632543813015,1.185249106079645,3.4228972324114832,7.525352472787978,9.379197099221349,7.762618847227528,3.432736701113431,1.4313492425358454,4.357625965185776,4.410743452307203,2.5669967675865197,1.7580945377964519,1.7811988023392895,0.49900665339160133,2.6225725368713664,4.314798282456172,3.980171397648663,2.8505639620222536,3.9617121228779673,4.655877704137198,2.820442300040043,2.1230221897429034,5.838116474791051
1,44.2421875,38.0492996145282,22.788333732196207,7.443588099713257,8.201216070972922,9.283064878068805,4.069177986515188,2.700094296642282,5.350728283766569,3.0450353410670745,1.7803708914271186,5.1366590110791694,4.810172068557595,2.517172671513316,4.106720346244508,5.514347942267397,5.1753708628723025,5.061469436679601,4.761878660286072,2.798310854564448,1.3922033318744946,2.1729863961365137,0.6336770302246333,4.386849123403408,8.593072704624428,9.754372805207316,7.032925562996286,3.16211122558168,4.765388628990002,6.1024827452804775,4.56054215104229,1.8942930415702206,1.387219319864833,2.363727340445317,3.730347265379358,4.426974388435696,3.1512648425726453,0.42330855508096954,2.2548808514090926,2.5870181263144043,0.9157235889440404,3.3345235526428536,5.367501861982418,4.6781043550444865,1.6509102678731147,1.7377611032844358,3.3554904242041705,2.4638330014219454,1.270086390583297,3.642542266267706,5.867399632530035,7.66346581140934,8.505334195554527,7.212763570469494,4.130654395025002,4.749839829978486,8.07732858998664,8.831838728617843,6.405482581688698,2.489193279673264,1.3506216283888435,2.3675343879084116,2.890587721442013,4.516591783518459
