class,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31
1,1.2134375,0.7169129834579225,0.19581701049907885,0.34443513756923627,0.1615433119147616,0.2395269801999816,0.1381720169329193,0.12087436045152111,0.07679442629270201,0.10939270985682682,0.0782833535996378,0.11098481817747045,0.11271589519757452,0.0743391437754539,0.19958236642141225,0.25674226842247505,0.13123400200119634,0.225659446582996,0.04800178493553641,0.3112197917234514,0.18994890606661463,0.17357906824794497,0.28531188050211115,0.1711976842101347,0.05261593297542832,0.1910503334471979,0.15595730920530854,0.11385019944098575,0.07984321545701831,0.0827623723254306,0.09790988786382741,0.15021259657532776
1,0.7278125,0.687483083459491,0.5760559795674101,0.4202079740392133,0.25922862845262606,0.14392496397000845,0.1176748396067697,0.11864029248269838,0.0859305282622667,0.02352820788869644,0.056598376168914936,0.11239225228102201,0.13061043644420586,0.10449646975254706,0.05723890488423204,0.09574763409826334,0.18138276387587107,0.24732238989898936,0.2714903020466173,0.24749229300417286,0.1830715740160627,0.10039705397770708,0.06012542777255411,0.10517230131442715,0.13955889975228303,0.13837326063991187,0.10587840162978987,0.06510206739134686,0.0721385142951092,0.11852166689217312,0.15963150146187746,0.18465994470023334
1,0.72875,0.6663486808745387,0.5012136279368155,0.29347886411585056,0.13863285348609758,0.13769553849549626,0.15194664104720343,0.1070874629845455,0.03304502506578799,0.040591120043443334,0.06364153160071725,0.04978578566736883,0.04639293628392533,0.06518209107311433,0.05272967637183395,0.03876123895805906,0.12704960276403857,0.22072837470247472,0.2703942997480414,0.2504323360745393,0.16496806650603865,0.06989450370575336,0.12944886083828844,0.20702602033768466,0.22378277289237752,0.17807666720939289,0.09461506902797281,0.02281379279664126,0.06468149411166267,0.08768454038799901,0.07649947996157994,0.045357429115498615
1,0.72875,0.6667519762243856,0.5040925357668276,0.3053803072289797,0.17120568559650787,0.16446224670470944,0.15892724391022955,0.09840816504524584,0.035775067065611184,0.08165044779842315,0.10231535626689514,0.07387973334794723,0.04261014716187891,0.06842735434488648,0.07073674826115146,0.02288054833123447,0.08420700868989472,0.18549225428827998,0.24996327648423625,0.24725531858318187,0.17430010201927112,0.0624946007180972,0.08990906845279327,0.1768113608526935,0.20557709369346333,0.17176654925235557,0.09904797623607385,0.05056546266747912,0.08911611394323937,0.11477545443593441,0.10292112303817533,0.061587700615658394
1,0.72875,0.6642484319973747,0.49525201208346914,0.2911219387893661,0.16926152341850428,0.18646064669823975,0.18500385375599807,0.11462030782794856,0.007952816536253005,0.08550989810660382,0.12946441476747317,0.11699782912643213,0.0721509338868852,0.038351567490572475,0.02224704613764944,0.026803467269791874,0.10677261177380654,0.18950958687426905,0.23561264553901415,0.21860157593485197,0.13790390119294382,0.038367334777460474,0.119219059092609,0.19895479194471208,0.2159617722749577,0.16948732976420433,0.08362387518901446,0.03480621488074722,0.09522561874340454,0.12429279644866673,0.11104688234849983,0.06633890564052819
1,0.799375,0.7310015883007367,0.5482029525238034,0.3095349837179012,0.09235319164208265,0.0876673149286815,0.14318884202941076,0.1316499730903896,0.10776631302247267,0.11307721110662489,0.11098845114918078,0.08089603905890559,0.06493664232028779,0.08792261109712876,0.08772492838828364,0.060880278403503366,0.11219838039160815,0.20600445685457908,0.2662149385956681,0.2601377820550349,0.189397358680496,0.11137939485163544,0.1537268969110111,0.2326476060886533,0.2612741015725486,0.23023654108968541,0.16571624406750138,0.12046484363577355,0.12690712057461281,0.1371293698646311,0.11718026967034144,0.06747827050237228
1,0.8259375,0.7400029161660844,0.518602191531439,0.262720562085703,0.15258056135050144,0.19766952003595395,0.1715667742708244,0.07454802211544193,0.04332291736194798,0.08367949931147871,0.053435354349165916,0.0769182055425304,0.16882484532714664,0.21322777829443937,0.19700512506152304,0.1929726990463734,0.26200045473481526,0.3210183690012457,0.30094381736659115,0.19677208373021363,0.05987903381616375,0.09700926808097372,0.15300504278395582,0.12535117695404643,0.03655955953987721,0.07175141498023381,0.1368246549910639,0.1339975131532655,0.06492942000721703,0.04739972956177922,0.15590705794878393,0.23415447643252682
1,0.85625,0.7661346999743165,0.5320232394366187,0.25256334633721506,0.1256567680813212,0.2016860901815342,0.19405343617653698,0.1050722738244388,0.021614089028423666,0.058032296136614425,0.0585615082236112,0.10531899947797761,0.18243510555271575,0.21583389979476583,0.1969461484195483,0.20124656799227733,0.27395397651795456,0.32754261995269124,0.29729564344916287,0.18051989420677872,0.028260433429218686,0.12100437636855756,0.18425221491270513,0.15622995840977733,0.0606090435122629,0.053467845011276584,0.12958645304238053,0.13790601910329717,0.07855790411994983,0.025878904057009197,0.12795682419680335,0.2029952366003161
1,0.2434375,0.22491113505085028,0.17331028319470565,0.09971474040183631,0.022580867049472063,0.056600905760013226,0.10637299580222978,0.12788151844408005,0.12037209555877706,0.09016326689326233,0.049502247231644314,0.027426405731026234,0.050443349663154446,0.07139371697078077,0.07854227664910056,0.07322057462828653,0.05951381798582579,0.04080374547160739,0.018636251298712256,0.015022016183962185,0.04610603646608178,0.08024345574886402,0.11058423342276512,0.13095219715432058,0.13646704335951831,0.12480272286778718,0.09683730318810518,0.05682318408439682,0.017762585522472254,0.044039328791179014,0.08244038887528801,0.10860342155953821
1,1.221875,0.9223390703437783,0.29370064952408154,0.2127267002964173,0.22946334865549475,0.012602026985001704,0.09167409036886066,0.034347328841312655,0.16921799812942828,0.10953048586911436,0.09229102918149099,0.1926232715630633,0.1185095998027117,0.19163319759124386,0.19343169524674733,0.07602233288401318,0.20638631858725523,0.16922716056100445,0.0499982585244021,0.18678654795739555,0.17869532988697076,0.13108820725613202,0.0901084698452714,0.02872523262223256,0.10212218654175402,0.2750317020343015,0.4661063339923965,0.45528166173991025,0.1962452877268513,0.1242398477630377,0.27391213563769806,0.24116345860064514
1,1.03625,0.9173913804193297,0.6150929184940074,0.2789799392106174,0.17739135937688694,0.22096714479732957,0.12730725900938927,0.0667690758302028,0.24040429637890953,0.30870345188271386,0.2463248699294273,0.10995168384789718,0.09574813802860173,0.15665179164963908,0.13059379296975282,0.051462498389025786,0.0748853290037508,0.10263732737515732,0.06681042919524537,0.09666382995843342,0.1900562222299804,0.23244993782640064,0.19605410015492158,0.10373161838630597,0.046640170803304445,0.09569952999440914,0.10532468726063328,0.082099737755576,0.0901619075560422,0.12049086196027227,0.11968317438431215,0.07676629789417953
1,1.1575,0.8764528041487442,0.3493886492837273,0.33659860046347,0.2912845960910131,0.056782262308964375,0.16671205344195775,0.17214317620612463,0.08849295851332001,0.08325941420089449,0.16947566719360585,0.13871070328785734,0.12541852735802905,0.15112251241771318,0.13690344289709877,0.203669633490591,0.15955626946315835,0.01786662627846211,0.06611431197036238,0.17548541838953444,0.3018367152632897,0.24771273405393945,0.14192382990284794,0.2077909650062667,0.112311700942332,0.12591054062162366,0.2673974920080834,0.3050031227426683,0.206849762858231,0.09886578630982716,0.35562299428923516,0.3373046074923245
1,0.971875,0.7331861307924991,0.22140661239791334,0.16522687744387726,0.21008532597862004,0.0960493814505247,0.11698801700966463,0.05462574190405964,0.040441481925039095,0.11370289735325696,0.20814123202021836,0.1760292669460807,0.03822481636048841,0.25379356291596783,0.2677828213259872,0.2369215808053515,0.4129185849686352,0.4114833449590885,0.18829092394354788,0.1344303917568681,0.16455961413055115,0.03590474720463938,0.1154418588966052,0.10950826757139555,0.08841946711390394,0.11496227053006837,0.036642219561779724,0.11650322093495849,0.12764585821666127,0.02177460205961129,0.15778405153561723,0.15679028712786924
1,1.0056249999999998,0.7249156129359036,0.1500891654799198,0.2435773354761916,0.1932242801033135,0.06284556799637428,0.17330453642926752,0.07301525077358406,0.07296544495142174,0.15866444549484898,0.2492252816694608,0.17257556879577826,0.13424229233000814,0.32870114263657063,0.2680075526881598,0.23860712101725065,0.42103504344947346,0.37017502529311597,0.12904945198273746,0.06866242781154616,0.07915876537577844,0.06379062259582242,0.1297086219149101,0.11122673099730414,0.0810518551178259,0.09040138732699185,0.0893457154746928,0.10585351924417603,0.06487916185281163,0.07121191974618131,0.18886799942728358,0.16734175353886016
