response,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31
6212.34,135.04093749999998,84.43183220595486,1.3175719644123387,20.970758094786838,9.741322761092762,17.109017780728,7.216221967926944,12.829464201056739,7.492572549049259,13.735984014619433,1.137572988806594,7.002706600445013,2.147788925113747,3.4686785407497274,4.717638689785011,3.8593034084112903,5.4764851456733865,3.909834331779708,7.251554932461257,4.908513513084783,9.0736406547859,10.318894621743048,6.5391373906989365,0.9528862430980694,5.65844040422544,2.7297922405928285,4.091263680950443,0.8701945274166348,5.621309931818938,3.8713665892748548,8.729252450796118,6.450397313615618
6254.58,144.460625,69.17721150321624,28.7864090370579,14.49660833070449,24.978428584604725,6.691579971004855,12.632407078462526,14.142316768625632,15.020698046039602,5.570188690308204,4.382769879170312,9.466339676884916,5.808937468238214,6.245894705951221,7.016959788124117,3.6173964746084266,11.4205356174333,8.398983899842541,10.056183376069402,4.357757589242772,5.789277037968547,10.84064177178229,7.601855857581084,2.768210159193936,3.5031475989925216,2.310347288243568,4.5873057188549975,8.467548344050103,12.421027111275853,0.9328887660524886,6.517542215434693,4.73441075582269
4424.316,136.6028125,72.80488465711134,16.935120272492778,15.255201389385503,19.467704950519675,5.971536468423697,14.314243200148,3.6355319220684885,12.815063934813118,4.107338669371636,8.591093110597964,6.740362868003751,2.234651912563794,6.4948325991623985,5.5857296096446705,5.896616117445044,2.5273649390533675,2.143145387206689,7.628876377098806,3.0235499259242387,4.370326835853702,5.576042629992631,4.764250218030721,3.1518228501110532,2.5427784959497703,2.8268731451104925,3.9313938579472114,2.6142739661208925,4.907343295014987,5.3154301709190435,7.23539756105902,4.181946088346594
6354.9,117.62375,78.71523610152971,7.2971138264745266,25.275412841469073,8.486682458798002,20.508896460198905,10.352463400592653,8.874808480677538,6.979791541652278,8.211475664817032,9.152265146362057,2.6539589208353767,6.073890041722044,3.805846583791888,6.778950252082315,3.7435163827394007,11.140740593720084,6.587081982547141,3.3516772367209136,5.331891205833232,6.6780463588196115,3.1587084170953816,2.165452430301261,2.0212011302570403,4.620329004865811,3.5073062289359584,9.33459322839243,9.062027592484487,0.7244136182500752,6.837470196562762,3.2891152015766867,3.515371855454254
5683.008000000002,125.97125,65.25478926290798,22.452192765320973,22.107141123871816,13.90357843068841,7.6746545946730675,12.867504162255557,6.055780014210671,11.356036404164406,3.292232981030963,7.020468753688601,7.5324850152952605,0.6201523413440854,9.519804984475634,3.4839748690258783,4.263405048092232,5.004333376091412,7.393632260888004,5.750779845627799,9.371929374348687,3.3188951856970803,5.755258289227355,2.7858471520402786,5.021181412400643,3.728884729770769,3.9193733433888864,1.0326844834071824,1.985195934894296,6.351235385563046,2.072582702931966,13.710581329269113,9.087946947842108
5547.396,121.8121875,62.654806326447556,22.846783613714116,20.69820564673233,19.701561486047904,11.742308186329307,15.679984010584299,8.58746945140373,7.522524099569225,4.813121396903829,4.76179541804514,4.356916584407137,5.298636772380624,6.0330561897375645,1.4605213562368144,3.637697788152178,5.932857765826786,6.353538883032293,3.7711999339428073,2.8329022659770096,7.275693273162934,4.060275447347947,4.260788744366262,1.0653233281152998,4.719980439693338,3.9601406318687515,4.669091227312803,5.098090414899483,3.2538615609113495,8.357439837936315,5.11830204897068,5.883116260935721
4903.734,131.72625,79.77989186483629,8.450170542001821,31.34756668540064,2.1009826086422434,15.14468602856066,3.9427548130992425,10.315568516782747,5.5826473038944116,10.916776933146744,7.280042725529395,8.37157308183029,2.595002402735877,5.994293085012794,7.1465284527293935,6.3659923692305425,1.7347916166286421,3.1342563124313307,5.138737168909878,2.161102513765361,4.966923281679318,1.753517452978097,3.968877845503665,0.5675559468812763,4.921691172980629,2.225501085054469,6.38739700785391,2.768826427746109,7.708459379353293,6.941875518369749,9.002068617354368,4.117546272691936
6215.52,121.19218749999999,75.83886766298053,4.912589025365558,20.991276706192746,12.149111576190313,17.11334592484289,7.10821233871176,14.794414388635975,3.415055509514574,11.134808892415016,2.790568199798237,8.267373495491846,0.7473789947693553,1.7392442407193973,5.963597310501492,6.903977643601325,2.196133520851191,3.821713533138279,4.182036343510196,7.942859774615223,7.6595281948672636,6.978618457754701,0.8735422274092844,3.9812051389422436,2.0502992273377183,2.8729735903360476,3.029404008827129,3.851430930854587,6.215974078039937,2.624181136616464,7.350206917131165,2.791687034063408
4299.81,143.488125,72.78966502225853,21.658453223285626,13.670285406855463,19.589607172420024,7.322307340089825,18.925692549577697,5.64940336360133,12.312163571084472,3.6700523361431676,6.606750094264361,10.614416797632282,3.8686750342893124,7.620189496657936,8.177383302508701,8.481952493858756,2.618728259157962,1.0568407228309795,3.366351667880765,4.514756490321848,6.633608729373491,1.4745350078930255,6.235389537579515,4.058100427528642,6.239884413651874,2.528606997757909,6.140656001192913,4.0708146741485685,5.2759098596750285,4.819195738824572,2.273354670901863,10.409403660341802
4889.076,139.3321875,69.21053348413378,25.06685585356912,15.864318156213244,19.919115133059414,1.7002048841515633,15.299822298509602,8.94080080941347,11.940793333141494,5.691830625039983,2.020827146419549,9.908150958802462,1.3329968465107185,6.570935739978672,4.839244518238519,3.7432704043193894,3.586861945110415,3.0672549372108002,2.680689695219563,8.027132128866414,4.015496584125784,3.380013400275153,6.818854709557117,4.623291021292677,6.878578733685912,3.631798101965406,6.420126988222458,7.999116402938162,6.755077251343244,5.251457170510964,0.7156125569402311,10.057332641553602
